neighborhood,no_match_count,no_match_area_acres,trusted_count,review_count,avg_area_acres
ROWAN COUNTY PARCEL,6023,6392.3,0,6023,1.0613
THE MILLS AT ROCKY RIVER,998,249.08,971,27,0.2496
BROOKWOOD NORTH,930,406.96,198,732,0.4376
MIDWAY WEST,771,288.77,169,602,0.3745
HARTSELL SCHOOL,749,310.09,156,593,0.414
KELLSWATER BRIDGE,669,217.64,651,18,0.3253
LAKE CONCORD RD,628,210.43,86,542,0.3351
WEST C ST,598,182.72,126,472,0.3056
BOYS CLUB,596,133.03,54,542,0.2232
CAR TOWN,590,175.92,70,520,0.2982
MIDWAY EAST,584,325.97,165,419,0.5582
FOREST PARK ELEMENTARY SCHOOL,574,317.77,156,418,0.5536
BETHPAGE RD AREA,570,624.06,161,409,1.0948
NCRC/KANNAPOLIS DOWNTOWN,560,403.47,354,206,0.7205
ROCKY RIVER CROSSING,553,192.35,514,39,0.3478
RIVERWALK,546,133.03,530,16,0.2436
AZALEA AVE AREA,545,414.73,278,267,0.761
R BROWN MCALLISTER SCHOOL,533,348.97,74,459,0.6547
WHITEHALL /PHIFER PARK,525,283.99,297,228,0.5409
SKYBROOK VILLAGE,519,105.87,500,19,0.204
ALLEN MILLS,486,152.4,473,13,0.3136
SEDGEFIELD,466,215.74,161,305,0.463
MOORESVILLE AND RAINBOW RD,453,153.6,76,377,0.3391
COVINGTON,451,132.44,425,26,0.2937
HOLCOMB WOODS,447,196.05,440,7,0.4386
LOGAN COMMUNITY SOUTH,444,129.72,43,401,0.2922
CANTERFIELD ESTATES,441,107.54,425,16,0.2438
MOSS CREEK AREA 2,438,87.61,428,10,0.2
CENTRAL DRIVE SOUTH,437,128.33,138,299,0.2937
SOUTHERN CHASE,437,73.43,329,108,0.168
AFTON VILLAGE,430,69.2,291,139,0.1609
HARRISBURG PARK,426,235.73,401,25,0.5534
NORTH 29A,425,226.41,78,347,0.5327
HARRISBURG TOWN CENTER,421,27.42,245,176,0.0651
LOGAN NORTH,414,141.63,50,364,0.3421
FARM AT RIVERPOINTE BACK,412,97.83,404,8,0.2375
HALLSTEAD,400,63.5,398,2,0.1587
MONTFORD AVE AREA,398,401.63,109,289,1.0091
LANE ST / I-85,396,211.86,77,319,0.535
SOUTH CORBAN AVE,388,73.87,20,368,0.1904
LAKE FISHER,386,359.65,117,269,0.9317
MT PLEASANT OUTSIDE,383,1859.75,97,286,4.8557
HUNTON FOREST,378,101.13,374,4,0.2675
KANNAPOLIS MIDDLE SCHOOL,374,130.35,50,324,0.3485
ABBINGTON,369,159.8,353,16,0.4331
CANNON RUN,367,79.16,363,4,0.2157
WINECOFF SCHOOL,356,400.34,107,249,1.1246
FRANK LISKE PARK,352,161.0,331,21,0.4574
HARRISBURG,352,1013.28,169,183,2.8786
AURORA LOCKE,350,123.74,67,283,0.3536
WELLINGTON CHASE,350,113.17,344,6,0.3233
BRANDON RIDGE,336,48.56,322,14,0.1445
BETHEL ELEMENTARY SCHOOL,335,1329.81,74,261,3.9696
OVERBROOK,331,644.51,95,236,1.9472
OAK PARK,330,71.72,307,23,0.2173
NORTHWEST CABARRUS SCHOOL,324,1957.5,101,223,6.0417
CONCORD PARKWAY SOUTH,322,4318.97,135,187,13.4129
FLEETWOOD AVE AREA,321,165.02,56,265,0.5141
YMCA,321,583.32,77,244,1.8172
NORTH CANNON BLVD,320,241.77,42,278,0.7555
SHORT ST AREA,320,115.29,91,229,0.3603
SHEFFIELD MANOR,319,97.27,312,7,0.3049
BLUME,317,130.24,311,6,0.4109
PIPER LANDING,316,55.48,313,3,0.1756
WINDING WALK HARRIS RD,314,106.83,304,10,0.3402
OLD CENTERGROVE,313,72.97,94,219,0.2331
CONCORD PARKWAY NORTH,312,749.15,82,230,2.4011
ANNSBOROUGH PARK,309,99.63,307,2,0.3224
GLENGROVE,305,100.42,293,12,0.3292
HARRISBURG VILLAGE,301,42.83,273,28,0.1423
MOSS CREEK AREA 4,300,44.81,294,6,0.1494
A L  BROWN HIGH SCHOOL,295,128.96,12,283,0.4372
EASTCLIFF,295,169.45,65,230,0.5744
NE MEDICAL CENTER,295,422.79,76,219,1.4332
